2020-03-11 16:34:54.6596 | Thread: 16 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 528
2020-03-11 16:34:54.6815 | Thread: 32 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 502
2020-03-11 16:34:54.7628 | Thread: 33 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 456
2020-03-11 16:34:54.8088 | Thread: 25 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 420
2020-03-11 16:34:54.9010 | Thread: 35 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 372
2020-03-11 16:34:54.9645 | Thread: 39 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 345
2020-03-11 16:34:55.1227 | Thread: 30 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 257
2020-03-11 16:34:55.2449 | Thread: 32 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 210
2020-03-11 16:34:55.4992 | Thread: 35 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 125
2020-03-11 16:34:55.6198 | Thread: 30 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 76
2020-03-11 16:34:55.7133 | Thread: 32 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 54
2020-03-11 16:34:55.7315 | Thread: 30 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 48
2020-03-11 16:34:55.8186 | Thread: 9 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 31
2020-03-11 16:34:55.8186 | Thread: 35 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 28
2020-03-11 16:34:55.8384 | Thread: 9 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 26
2020-03-11 16:34:56.0346 | Thread: 35 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 9
2020-03-11 16:34:56.2425 | Thread: 35 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Completed thread at 0
2020-03-11 16:34:56.2516 | Thread: 35 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | End of migration
2020-03-11 16:34:56.3481 | Thread: 35 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Truncated
2020-03-11 16:34:56.5869 | Thread: 9 |   INFO | DataMigrationSystem.Program | Migration ended with '0' errors
2020-03-11 18:01:35.7636 | Thread: 36 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 11742
2020-03-11 18:01:36.4315 | Thread: 19 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 11216
2020-03-11 18:01:37.5893 | Thread: 31 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 10347
2020-03-11 18:01:40.0102 | Thread: 27 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 8914
2020-03-11 18:01:41.1969 | Thread: 27 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 8092
2020-03-11 18:01:43.1502 | Thread: 12 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 6778
2020-03-11 18:01:43.2561 | Thread: 41 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 6757
2020-03-11 18:01:43.6820 | Thread: 4 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 6484
2020-03-11 18:01:43.9502 | Thread: 7 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 6331
2020-03-11 18:01:45.0769 | Thread: 7 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 5852
2020-03-11 18:01:47.6508 | Thread: 27 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Completed thread at 4422
